MasterID	Mag	Magerr	RA	Dec	MJD	Blend
1.10707E+12	17.12	0.09	192.62118	6.60284	56264.514	0
1.10707E+12	17.1	0.09	192.62121	6.60291	56302.4861	0
1.10707E+12	17.03	0.08	192.62122	6.60293	56302.49117	0
1.10707E+12	16.75	0.09	192.62134	6.60257	56302.49632	0
1.10707E+12	17.07	0.09	192.62117	6.60293	56302.50147	0
1.10707E+12	17.02	0.08	192.62115	6.60298	56311.49164	0
1.10707E+12	17	0.08	192.62124	6.60297	56311.4974	0
1.10707E+12	16.98	0.08	192.62122	6.60292	56311.50307	0
1.10707E+12	17.03	0.08	192.62123	6.60294	56311.50874	0
1.10707E+12	17.02	0.09	192.62123	6.60296	56328.42945	0
1.10707E+12	16.91	0.08	192.62131	6.60296	56328.43762	0
1.10707E+12	16.96	0.08	192.62124	6.60298	56328.44501	0
1.10707E+12	16.97	0.08	192.62116	6.60288	56328.4524	0
1.10707E+12	16.97	0.08	192.62121	6.60289	56339.39886	0
1.10707E+12	17.02	0.08	192.62122	6.60292	56339.40538	0
1.10707E+12	17.02	0.08	192.62116	6.60298	56339.41188	0
1.10707E+12	17	0.08	192.62125	6.60294	56339.41844	0
1.10707E+12	16.96	0.08	192.62115	6.60289	56356.35168	0
1.10707E+12	16.98	0.08	192.62126	6.603	56356.35866	0
1.10707E+12	17.06	0.09	192.62123	6.60291	56356.36565	0
1.10707E+12	17.03	0.09	192.6212	6.60291	56356.37264	0
1.10707E+12	16.96	0.08	192.62119	6.60294	56365.33435	0
1.10707E+12	16.97	0.08	192.62118	6.60294	56365.34258	0
1.10707E+12	16.89	0.07	192.62127	6.60288	56365.35077	0
1.10707E+12	16.93	0.08	192.62119	6.60292	56365.35886	0
1.10707E+12	16.97	0.08	192.62117	6.60295	56383.27074	0
1.10707E+12	17.12	0.09	192.62124	6.60296	56383.27751	0
1.10707E+12	17.05	0.08	192.62117	6.60292	56383.28434	0
1.10707E+12	17.07	0.08	192.62119	6.60289	56383.29112	0
1.10707E+12	17.05	0.08	192.62118	6.60287	56393.26607	0
1.10707E+12	17.05	0.08	192.62124	6.60294	56393.27109	0
1.10707E+12	16.97	0.08	192.62122	6.60257	56393.27615	0
1.10707E+12	17.09	0.08	192.62119	6.60293	56393.28124	0
1.10707E+12	17.04	0.08	192.62107	6.603	56402.31274	0
1.10707E+12	16.87	0.08	192.62111	6.60257	56402.32055	0
1.10707E+12	16.91	0.08	192.62109	6.6029	56402.32839	0
1.10707E+12	17.13	0.09	192.62128	6.6029	56402.33624	0
1.10707E+12	17.07	0.09	192.62119	6.60296	56423.21378	0
1.10707E+12	17.07	0.09	192.62123	6.60295	56423.22106	0
1.10707E+12	17.14	0.11	192.62125	6.60322	56423.25003	0
1.10707E+12	17.09	0.09	192.62122	6.60296	56423.25739	0
1.10707E+12	17.11	0.09	192.62128	6.60294	56446.20304	0
1.10707E+12	17.01	0.08	192.62119	6.6029	56446.21204	0
1.10707E+12	16.9	0.08	192.62118	6.60262	56446.22105	0
1.10707E+12	17.01	0.08	192.62117	6.60296	56446.23012	0
2.10718E+12	17.08	0.06	192.62132	6.60293	54178.3584	0
2.10718E+12	17.08	0.06	192.62132	6.60294	54178.36388	0
2.10718E+12	17.06	0.06	192.6213	6.60293	54178.36943	0
2.10718E+12	17.07	0.06	192.62132	6.60293	54178.37499	0
