# TIME                 APTFLUX     APTFLUX_ERR   DETFLUX      DETFLUX_ERR    CENT_ROW        CENT_COL       
  2147.9848751872923   1581.1178   5.640538      0.98187417   0.0034416625   -0.011513395    0.04387223     
  2148.005307363186    1577.5155   5.6407127     0.979531     0.0034335556   0.0012510635    0.03417149     
  2148.0257393386128   1556.7306   5.6398444     0.96698326   0.00338905     0.013107135     0.036861368    
  2148.046171414033    1576.2366   5.6403747     0.97855145   0.003429916    0.029539982     0.0138537595   
  2148.0666035885297   1563.1423   5.639251      0.9702786    0.0034002417   0.043280028     0.002831172    
  2148.08703566256     1551.9597   5.638793      0.9634219    0.0033759389   0.07292566      -0.011271668   
  2148.107467636117    1545.0677   5.6388087     0.9587063    0.0033594242   0.0854751       -0.027458433   
  2148.1278998092166   1561.6367   5.638753      0.9682759    0.0033929236   0.12775542      -0.038501713   
  2148.1483317818493   1559.952    5.638689      0.9663545    0.0033861527   0.13469206      -0.05928603    
  2148.1687638540097   1548.4407   5.638161      0.95901585   0.0033601231   0.13947849      -0.06311923    
  2148.1891960257126   1543.1749   5.637564      0.9553134    0.0033467961   0.16172121      -0.07013012    
  2148.2096279969483   1539.4922   5.637442      0.9523706    0.0033364142   0.17765586      -0.08741892    
  2148.230060067246    1533.208    5.6378655     0.9481173    0.0033217636   0.19793655      -0.094130054   
  2148.250492237552    1540.4553   5.638444      0.95225304   0.0033365951   0.21723658      -0.10168839    
  2148.2709242073906   1597.3499   5.641168      0.9860519    0.0034566922   0.26259676      -0.18514144    
  2148.291356376758    1562.1143   5.6391597     0.96477854   0.0033809126   0.27608013      -0.1441634     
  2148.3117884452004   1550.4524   5.638485      0.9575535    0.0033551923   0.29352322      -0.14606056    
  2148.332220413642    1561.0853   5.638642      0.96415424   0.0033784145   0.33254972      -0.16192108    
  2148.3526525816123   1586.3229   5.6410108     0.9800238    0.0034354643   0.3623198       -0.18057196    
  2148.373084648658    1627.2935   5.642317      1.0062056    0.0035280609   0.42053         -0.1920193     
  2148.3935166157025   1605.4071   5.6412344     0.992033     0.0034777003   0.4141021       -0.21907674    
  2148.41394878181     1605.9276   5.6414657     0.9929705    0.0034811297   0.43964204      -0.20833507    
  2148.4752449782827   1573.3763   5.639819      0.9864214    0.0034571607   -0.27547616     0.21365449     
  2148.495677042534    1553.7374   5.6402774     0.9740188    0.0034139701   -0.25473845     0.20657796     
  2148.5161091067857   1559.2769   5.6392064     0.9756934    0.0034191902   -0.21647114     0.17863189     
  2148.5365411700986   1566.5424   5.640062      0.9784054    0.0034292142   -0.19669577     0.15492092     
  2148.556973232953    1557.048    5.6395984     0.9725305    0.0034083433   -0.17319989     0.14796361     
  2148.5774052958004   1557.2173   5.6389904     0.9720527    0.0034063014   -0.15413274     0.13814078     
  2148.5978374577244   1553.7048   5.639192      0.9672005    0.0033894193   -0.119853966    0.120420344    
  2148.618269419181    1573.6974   5.6400294     0.9771099    0.0034246538   -0.101653755    0.100271635    
  2148.638701480173    1555.1301   5.638805      0.9660401    0.0033851203   -0.079610646    0.1102636      
  2148.6591336411584   1567.2588   5.6395335     0.9731624    0.0034105184   -0.06254934     0.07522348     
  2148.679565601218    1538.6025   5.6383295     0.9558112    0.0033489948   -0.048105545    0.082679436    
  2148.699997660806    1553.2537   5.6393485     0.9650613    0.0033820167   -0.02061907     0.061546493    
  2148.720429819936    1567.018    5.6408134     0.97300065   0.0034107252   -0.018813012    0.045116607    
  2148.7408617785986   1541.7769   5.6391177     0.95718515   0.003354278    0.0072598425    0.0274062      
  2148.7612938367965   1548.4155   5.638339      0.9610282    0.00336728     0.034537774     0.0051960093   
  2148.7817259945223   1548.469    5.639174      0.9608369    0.0033671083   0.057102375     -0.012947383   
  2148.802157951788    1551.7778   5.6385393     0.9629135    0.0033740057   0.0730578       -0.021277029   
  2148.8225900085818   1546.5006   5.6386585     0.9591129    0.0033607592   0.10896801      -0.035603452   
  2148.843022164918    1546.912    5.6391816     0.9588115    0.003360015    0.12761462      -0.046413336   
  2148.8634541207866   1544.8403   5.638598      0.9574031    0.0033547322   0.12788685      -0.049407814   
  2148.8838862757184   1559.2778   5.639239      0.96544695   0.0033833024   0.14866784      -0.06917424    
  2148.904318230656    1563.5723   5.6397886     0.9671139    0.0033894745   0.18641001      -0.092563845   
  2148.9247502851285   1580.107    5.640608      0.9768632    0.0034241404   0.21139023      -0.10393185    
  2148.945182439129    1582.5184   5.6409965     0.97781295   0.0034277055   0.2405102       -0.11513115    
  2148.9656143926695   1591.7107   5.6415515     0.983177     0.0034468481   0.2738968       -0.14328799    
  2148.9860464452795   1615.4293   5.642241      0.99788123   0.0034988264   0.29820824      -0.15054652    
  2149.006478597883    1592.485    5.641318      0.98356175   0.0034480544   0.32825643      -0.16471064    
  2149.0269106500273   1604.8239   5.642646      0.99131155   0.003476041    0.3407331       -0.17224419    
  2149.047342601705    1612.5967   5.6426578     0.9965304    0.0034943481   0.38096002      -0.18785955    
  2149.067774752446    1613.6002   5.642654      0.99687946   0.0034955698   0.3647973       -0.18987744    
  2149.0882068031933   1592.0354   5.641376      0.9837881    0.0034488833   0.38477403      -0.18946362    
